,Postal code,Borough,Latitude,Longitude,location,Neighborhood
0,M3A,North York,43.7532586,-79.3296565,"(43.7532586, -79.3296565)",Parkwoods
1,M4A,North York,43.725882299999995,-79.31557159999998,"(43.725882299999995, -79.31557159999998)",Victoria Village
2,M5A,Downtown Toronto,43.6542599,-79.3606359,"(43.6542599, -79.3606359)",Regent Park 
3,M5A,Downtown Toronto,43.6542599,-79.3606359,"(43.6542599, -79.3606359)", Harbourfront
4,M6A,North York,43.718517999999996,-79.46476329999999,"(43.718517999999996, -79.46476329999999)",Lawrence Manor 
5,M6A,North York,43.718517999999996,-79.46476329999999,"(43.718517999999996, -79.46476329999999)", Lawrence Heights
6,M7A,Downtown Toronto,43.6623015,-79.3894938,"(43.6623015, -79.3894938)",Queen's Park 
7,M7A,Downtown Toronto,43.6623015,-79.3894938,"(43.6623015, -79.3894938)", Ontario Provincial Government
8,M9A,Etobicoke,43.6678556,-79.53224240000002,"(43.6678556, -79.53224240000002)",Islington Avenue
9,M1B,Scarborough,43.806686299999996,-79.19435340000001,"(43.806686299999996, -79.19435340000001)",Malvern 
10,M1B,Scarborough,43.806686299999996,-79.19435340000001,"(43.806686299999996, -79.19435340000001)", Rouge
11,M3B,North York,43.745905799999996,-79.352188,"(43.745905799999996, -79.352188)",Don Mills
12,M4B,East York,43.7063972,-79.309937,"(43.7063972, -79.309937)",Parkview Hill 
13,M4B,East York,43.7063972,-79.309937,"(43.7063972, -79.309937)", Woodbine Gardens
14,M5B,Downtown Toronto,43.6571618,-79.37893709999999,"(43.6571618, -79.37893709999999)",Garden District
15,M5B,Downtown Toronto,43.6571618,-79.37893709999999,"(43.6571618, -79.37893709999999)", Ryerson
16,M6B,North York,43.709577,-79.44507259999999,"(43.709577, -79.44507259999999)",Glencairn
17,M9B,Etobicoke,43.6509432,-79.55472440000001,"(43.6509432, -79.55472440000001)",West Deane Park 
18,M9B,Etobicoke,43.6509432,-79.55472440000001,"(43.6509432, -79.55472440000001)", Princess Gardens 
19,M9B,Etobicoke,43.6509432,-79.55472440000001,"(43.6509432, -79.55472440000001)", Martin Grove 
20,M9B,Etobicoke,43.6509432,-79.55472440000001,"(43.6509432, -79.55472440000001)", Islington 
21,M9B,Etobicoke,43.6509432,-79.55472440000001,"(43.6509432, -79.55472440000001)", Cloverdale
22,M1C,Scarborough,43.7845351,-79.16049709999999,"(43.7845351, -79.16049709999999)",Rouge Hill 
23,M1C,Scarborough,43.7845351,-79.16049709999999,"(43.7845351, -79.16049709999999)", Port Union 
24,M1C,Scarborough,43.7845351,-79.16049709999999,"(43.7845351, -79.16049709999999)", Highland Creek
25,M3C,North York,43.72589970000001,-79.340923,"(43.72589970000001, -79.340923)",Don Mills
26,M4C,East York,43.695343900000005,-79.3183887,"(43.695343900000005, -79.3183887)",Woodbine Heights
27,M5C,Downtown Toronto,43.6514939,-79.3754179,"(43.6514939, -79.3754179)",St. James Town
28,M6C,York,43.6937813,-79.42819140000002,"(43.6937813, -79.42819140000002)",Humewood-Cedarvale
29,M9C,Etobicoke,43.6435152,-79.57720079999999,"(43.6435152, -79.57720079999999)",Eringate 
30,M9C,Etobicoke,43.6435152,-79.57720079999999,"(43.6435152, -79.57720079999999)", Bloordale Gardens 
31,M9C,Etobicoke,43.6435152,-79.57720079999999,"(43.6435152, -79.57720079999999)", Old Burnhamthorpe 
32,M9C,Etobicoke,43.6435152,-79.57720079999999,"(43.6435152, -79.57720079999999)", Markland Wood
33,M1E,Scarborough,43.7635726,-79.1887115,"(43.7635726, -79.1887115)",Guildwood 
34,M1E,Scarborough,43.7635726,-79.1887115,"(43.7635726, -79.1887115)", Morningside 
35,M1E,Scarborough,43.7635726,-79.1887115,"(43.7635726, -79.1887115)", West Hill
36,M4E,East Toronto,43.67635739999999,-79.2930312,"(43.67635739999999, -79.2930312)",The Beaches
37,M5E,Downtown Toronto,43.644770799999996,-79.3733064,"(43.644770799999996, -79.3733064)",Berczy Park
38,M6E,York,43.6890256,-79.453512,"(43.6890256, -79.453512)",Caledonia-Fairbanks
39,M1G,Scarborough,43.7709921,-79.21691740000001,"(43.7709921, -79.21691740000001)",Woburn
40,M4G,East York,43.7090604,-79.3634517,"(43.7090604, -79.3634517)",Leaside
41,M5G,Downtown Toronto,43.6579524,-79.3873826,"(43.6579524, -79.3873826)",Central Bay Street
42,M6G,Downtown Toronto,43.669542,-79.4225637,"(43.669542, -79.4225637)",Christie
43,M1H,Scarborough,43.773136,-79.23947609999999,"(43.773136, -79.23947609999999)",Cedarbrae
44,M2H,North York,43.8037622,-79.3634517,"(43.8037622, -79.3634517)",Hillcrest Village
45,M3H,North York,43.7543283,-79.4422593,"(43.7543283, -79.4422593)",Bathurst Manor 
46,M3H,North York,43.7543283,-79.4422593,"(43.7543283, -79.4422593)", Wilson Heights 
47,M3H,North York,43.7543283,-79.4422593,"(43.7543283, -79.4422593)", Downsview North
48,M4H,East York,43.7053689,-79.34937190000001,"(43.7053689, -79.34937190000001)",Thorncliffe Park
49,M5H,Downtown Toronto,43.65057120000001,-79.3845675,"(43.65057120000001, -79.3845675)",Richmond 
50,M5H,Downtown Toronto,43.65057120000001,-79.3845675,"(43.65057120000001, -79.3845675)", Adelaide 
51,M5H,Downtown Toronto,43.65057120000001,-79.3845675,"(43.65057120000001, -79.3845675)", King
52,M6H,West Toronto,43.66900510000001,-79.4422593,"(43.66900510000001, -79.4422593)",Dufferin 
53,M6H,West Toronto,43.66900510000001,-79.4422593,"(43.66900510000001, -79.4422593)", Dovercourt Village
54,M1J,Scarborough,43.7447342,-79.23947609999999,"(43.7447342, -79.23947609999999)",Scarborough Village
55,M2J,North York,43.7785175,-79.3465557,"(43.7785175, -79.3465557)",Fairview 
56,M2J,North York,43.7785175,-79.3465557,"(43.7785175, -79.3465557)", Henry Farm 
57,M2J,North York,43.7785175,-79.3465557,"(43.7785175, -79.3465557)", Oriole
58,M3J,North York,43.7679803,-79.48726190000001,"(43.7679803, -79.48726190000001)",Northwood Park 
59,M3J,North York,43.7679803,-79.48726190000001,"(43.7679803, -79.48726190000001)", York University
60,M4J,East York,43.685347,-79.3381065,"(43.685347, -79.3381065)",East Toronto
61,M5J,Downtown Toronto,43.6408157,-79.38175229999999,"(43.6408157, -79.38175229999999)",Harbourfront East 
62,M5J,Downtown Toronto,43.6408157,-79.38175229999999,"(43.6408157, -79.38175229999999)", Union Station 
63,M5J,Downtown Toronto,43.6408157,-79.38175229999999,"(43.6408157, -79.38175229999999)", Toronto Islands
64,M6J,West Toronto,43.647926700000006,-79.4197497,"(43.647926700000006, -79.4197497)",Little Portugal 
65,M6J,West Toronto,43.647926700000006,-79.4197497,"(43.647926700000006, -79.4197497)", Trinity
66,M1K,Scarborough,43.7279292,-79.26202940000002,"(43.7279292, -79.26202940000002)",Kennedy Park 
67,M1K,Scarborough,43.7279292,-79.26202940000002,"(43.7279292, -79.26202940000002)", Ionview 
68,M1K,Scarborough,43.7279292,-79.26202940000002,"(43.7279292, -79.26202940000002)", East Birchmount Park
69,M2K,North York,43.7869473,-79.385975,"(43.7869473, -79.385975)",Bayview Village
70,M3K,North York,43.737473200000004,-79.46476329999999,"(43.737473200000004, -79.46476329999999)",Downsview
71,M4K,East Toronto,43.6795571,-79.352188,"(43.6795571, -79.352188)",The Danforth West 
72,M4K,East Toronto,43.6795571,-79.352188,"(43.6795571, -79.352188)", Riverdale
73,M5K,Downtown Toronto,43.6471768,-79.38157640000001,"(43.6471768, -79.38157640000001)",Toronto Dominion Centre 
74,M5K,Downtown Toronto,43.6471768,-79.38157640000001,"(43.6471768, -79.38157640000001)", Design Exchange
75,M6K,West Toronto,43.6368472,-79.42819140000002,"(43.6368472, -79.42819140000002)",Brockton 
76,M6K,West Toronto,43.6368472,-79.42819140000002,"(43.6368472, -79.42819140000002)", Parkdale Village 
77,M6K,West Toronto,43.6368472,-79.42819140000002,"(43.6368472, -79.42819140000002)", Exhibition Place
78,M1L,Scarborough,43.711111700000004,-79.2845772,"(43.711111700000004, -79.2845772)",Golden Mile 
79,M1L,Scarborough,43.711111700000004,-79.2845772,"(43.711111700000004, -79.2845772)", Clairlea 
80,M1L,Scarborough,43.711111700000004,-79.2845772,"(43.711111700000004, -79.2845772)", Oakridge
81,M2L,North York,43.7574902,-79.37471409999999,"(43.7574902, -79.37471409999999)",York Mills 
82,M2L,North York,43.7574902,-79.37471409999999,"(43.7574902, -79.37471409999999)", Silver Hills
83,M3L,North York,43.7390146,-79.5069436,"(43.7390146, -79.5069436)",Downsview
84,M4L,East Toronto,43.6689985,-79.31557159999998,"(43.6689985, -79.31557159999998)",India Bazaar 
85,M4L,East Toronto,43.6689985,-79.31557159999998,"(43.6689985, -79.31557159999998)", The Beaches West
86,M5L,Downtown Toronto,43.6481985,-79.37981690000001,"(43.6481985, -79.37981690000001)",Commerce Court 
87,M5L,Downtown Toronto,43.6481985,-79.37981690000001,"(43.6481985, -79.37981690000001)", Victoria Hotel
88,M6L,North York,43.713756200000006,-79.4900738,"(43.713756200000006, -79.4900738)",North Park 
89,M6L,North York,43.713756200000006,-79.4900738,"(43.713756200000006, -79.4900738)", Maple Leaf Park 
90,M6L,North York,43.713756200000006,-79.4900738,"(43.713756200000006, -79.4900738)", Upwood Park
91,M9L,North York,43.7563033,-79.56596329999999,"(43.7563033, -79.56596329999999)",Humber Summit
92,M1M,Scarborough,43.716316,-79.23947609999999,"(43.716316, -79.23947609999999)",Cliffside 
93,M1M,Scarborough,43.716316,-79.23947609999999,"(43.716316, -79.23947609999999)", Cliffcrest 
94,M1M,Scarborough,43.716316,-79.23947609999999,"(43.716316, -79.23947609999999)", Scarborough Village West
95,M2M,North York,43.789053,-79.40849279999999,"(43.789053, -79.40849279999999)",Willowdale 
96,M2M,North York,43.789053,-79.40849279999999,"(43.789053, -79.40849279999999)", Newtonbrook
97,M3M,North York,43.7284964,-79.49569740000001,"(43.7284964, -79.49569740000001)",Downsview
98,M4M,East Toronto,43.6595255,-79.340923,"(43.6595255, -79.340923)",Studio District
99,M5M,North York,43.7332825,-79.4197497,"(43.7332825, -79.4197497)",Bedford Park 
100,M5M,North York,43.7332825,-79.4197497,"(43.7332825, -79.4197497)", Lawrence Manor East
101,M6M,York,43.6911158,-79.47601329999999,"(43.6911158, -79.47601329999999)",Del Ray 
102,M6M,York,43.6911158,-79.47601329999999,"(43.6911158, -79.47601329999999)", Mount Dennis 
103,M6M,York,43.6911158,-79.47601329999999,"(43.6911158, -79.47601329999999)", Keelsdale and Silverthorn
104,M9M,North York,43.7247659,-79.53224240000002,"(43.7247659, -79.53224240000002)",Humberlea 
105,M9M,North York,43.7247659,-79.53224240000002,"(43.7247659, -79.53224240000002)", Emery
106,M1N,Scarborough,43.692657000000004,-79.2648481,"(43.692657000000004, -79.2648481)",Birch Cliff 
107,M1N,Scarborough,43.692657000000004,-79.2648481,"(43.692657000000004, -79.2648481)", Cliffside West
108,M2N,North York,43.7701199,-79.40849279999999,"(43.7701199, -79.40849279999999)",Willowdale
109,M3N,North York,43.7616313,-79.52099940000001,"(43.7616313, -79.52099940000001)",Downsview
110,M4N,Central Toronto,43.7280205,-79.3887901,"(43.7280205, -79.3887901)",Lawrence Park
111,M5N,Central Toronto,43.7116948,-79.41693559999999,"(43.7116948, -79.41693559999999)",Roselawn
112,M6N,York,43.67318529999999,-79.48726190000001,"(43.67318529999999, -79.48726190000001)",Runnymede 
113,M6N,York,43.67318529999999,-79.48726190000001,"(43.67318529999999, -79.48726190000001)", The Junction North
114,M9N,York,43.706876,-79.51818840000001,"(43.706876, -79.51818840000001)",Weston
115,M1P,Scarborough,43.7574096,-79.27330400000001,"(43.7574096, -79.27330400000001)",Dorset Park 
116,M1P,Scarborough,43.7574096,-79.27330400000001,"(43.7574096, -79.27330400000001)", Wexford Heights 
117,M1P,Scarborough,43.7574096,-79.27330400000001,"(43.7574096, -79.27330400000001)", Scarborough Town Centre
118,M2P,North York,43.752758299999996,-79.4000493,"(43.752758299999996, -79.4000493)",York Mills West
119,M4P,Central Toronto,43.7127511,-79.3901975,"(43.7127511, -79.3901975)",Davisville North
